Прізвище,Ім’я По-батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Бебешко,Христина Олександрівна,Жіноча,1996-12-05,Музикант,село Заводське,"узвіз Бучми, буд. 4 кв. 5, Святогірськ, 55791",+380 50 940-91-57,lizasheremet@example.com
Сімашкевич,Алла Богданівна,Жіноча,1981-08-21,Секретар,селище Чорноморськ,"проспект Князя Ярослава Мудрого, буд. 718, Зборів, 55128",+380 36 951-33-06,qtsushko@example.org
Вернидуб,Розалія Петрівна,Жіноча,1960-09-30,Водій,місто Берестин,"сквер Совіньйонівський, буд. 71, Курахове, 56061",421-69-36,mykhailynalukash@example.com
Щербак,Варвара Юріївна,Жіноча,2004-07-23,Художник,селище Лубни,"шосе Наявний 2-й, буд. 5, Жданівка, 94596",535-45-00,ihnat55@example.com
Чекалюк,Хома Петрович,Чоловіча,1968-12-07,Слідчий,місто Луцьк,"сквер Каркашадзе, буд. 6 кв. 950, Берестин, 08982",+380 (16) 657-23-88,iaroslavazhuk@example.org
Гузій,Роксолана Миколаївна,Жіноча,1955-09-28,Прокурор,хутір Попасна,"провулок Гвоздичний, буд. 8, Борщів, 99289",+380 15 583-03-47,levkohres@example.org
Авраменко,Алевтин Миколайович,Чоловіча,1954-01-04,Астроном,село Решетилівка,"проспект Василя Капніста, буд. 99 кв. 3, Новояворівськ, 67218",076 332-38-20,amaliiaavramchuk@example.com
Ванченко,Оксана Сергіївна,Жіноча,1968-08-23,Геолог,місто Теплодар,"набережна Чорничний, буд. 26 кв. 887, Черкаси, 01095",+380 35 288 51 25,oryna17@example.net
Гузь,Любов Степанівна,Жіноча,1973-08-06,Кур'єр,село Жмеринка,"набережна Баринштейна, буд. 0, Нова Каховка, 05958",+380 13 106-94-50,emiliia16@example.org
Лаба,Людмила Миколаївна,Жіноча,1967-03-03,Психолог,селище Алмазна,"набережна Овідіопольська дорога, буд. 14 кв. 553, Рудки, 18647",945 87 93,oleh62@example.com
Данченко,Валерій Юрійович,Чоловіча,2000-02-24,Пекар,селище Антрацит,"площа Естафетна, буд. 3 кв. 662, Глобине, 02474",+380 79 080 40 44,boleslav33@example.net
Жученко,Захар Тарасович,Чоловіча,1959-05-29,Візажист,село Бобринець,"вулиця Жевахова, буд. 0 кв. 57, Феодосія, 20387",+380 08 667 74 06,iustynakozak@example.net
Адамчук,Борис Миколайович,Чоловіча,1959-08-21,Різноробочий,місто Соснівка,"узвіз Студена, буд. 031 кв. 52, Любомль, 69210",+380 90 366-69-45,ehavrysh@example.org
Литвиненко,Соломон Андрійович,Чоловіча,1997-04-15,Драматург,місто Мала Виска,"парк Траса Здоров'я, буд. 369, Борщів, 57654",+380 57 542-65-17,mbaturynets@example.com
Алексеєнко,Алевтин Іванович,Чоловіча,1978-05-22,Менеджер,хутір Гнівань,"площа Зелений, буд. 225, Жашків, 75617",254-60-72,garsenych@example.com
Іщак,Арсен Романович,Чоловіча,1969-03-11,Письменник,селище Шумськ,"шосе Вапняний 3-й, буд. 70, Конотоп, 78542",+380 08 447 41 38,udotsenko@example.org
Усик,Адам Володимирович,Чоловіча,1972-09-30,Маркетолог,хутір Коростишів,"вулиця Пантелеймонівська, буд. 780, Кропивницький, 20794",+380 60 400 03 88,iukhymzabila@example.org
Акуленко,Єлисавета Богданівна,Жіноча,1961-05-31,Зоолог,місто Молочанськ,"шосе Курортний 6-й, буд. 29, Бориспіль, 70358",+380 38 148 53 16,tverkhovynets@example.com
Гуцуляк,Марина Романівна,Жіноча,2004-12-19,Державний службовець,село Черкаси,"парк Середня, буд. 9, Амвросіївка, 87657",471-72-22,olenapushkar@example.org
Артюх,Тереза Степанівна,Жіноча,1981-09-17,Юрист,село Судак,"шосе Пересипська 1-ша, буд. 8 кв. 2, Дніпро, 09422",+380 61 358-50-31,zaietsoleksandr@example.org
Демʼяненко,Ліза Іванівна,Жіноча,2005-03-05,Ґрунтознавець,село Чернігів,"провулок Данила Самойловича, буд. 8 кв. 61, Боярка, 93205",+380 90 759-59-86,petrykpetro@example.com
Давиденко,Леонід Ярославович,Чоловіча,2003-01-25,Локсмайстер,хутір Надвірна,"вулиця Соляний 7-й, буд. 8 кв. 2, Іршава, 93515",093 861 47 04,aronetskamilla@example.net
Прокопович,Тетяна Ігорівна,Жіноча,1968-02-18,Актор,село Новогродівка,"парк Тепличний 2-й, буд. 140, Гола Пристань, 35022",881-04-37,bohdanna16@example.net
Дахно,Дмитро Юрійович,Чоловіча,1948-06-12,Медик,хутір Рава-Руська,"парк Аеропортівський 1-й, буд. 5 кв. 21, Кілія, 12993",360-18-69,mvashchuk@example.com
Шевченко,Віктор Юрійович,Чоловіча,1957-04-22,Літературознавець,селище Заліщики,"проспект Балтський 7-й, буд. 41, Синельникове, 90221",+380 09 529 62 28,leopold46@example.org
Чубай,Альберт Олександрович,Чоловіча,1981-12-05,Гінеколог,селище Мар'їнка,"проспект Пересипська 10-та, буд. 884, Одеса, 74172",099 259-26-50,kpustovit@example.com
Юрчишин,Богуслава Дмитрівна,Жіноча,1980-12-27,Громадський діяч,місто Мерефа,"вулиця Лінія 52-га, буд. 547 кв. 23, Молочанськ, 21073",+380 99 262-38-83,anastasiia98@example.org
Скирда,Алевтин Романович,Чоловіча,1947-05-06,Ветеринар,село Брянка,"площа Давида Бурлюка, буд. 74 кв. 8, Гуляйполе, 94690",+380 64 946-78-15,svlasiuk@example.com
Малишко,Варфоломій Павлович,Чоловіча,1955-09-21,Дипломат,хутір Жданівка,"сквер Альтовий, буд. 20 кв. 102, Золоте, 91390",+380 07 393-21-52,derkacholha@example.com
Височан,Лукʼян Олександрович,Чоловіча,1989-03-02,Науковець,село Люботин,"вулиця Йосипа Тимченка, буд. 5, Теребовля, 98056",+380 (83) 075-69-65,ievhendatsenko@example.com
Ємець,Емілія Дмитрівна,Жіноча,1983-04-29,Стиліст,місто Київ,"парк Водопровідна, буд. 55, Дніпрорудне, 06790",029 582-77-23,ushelest@example.org
Чуприна,Давид Романович,Чоловіча,1966-11-06,Філолог,село Щастя,"сквер Проектований 3-й, буд. 1 кв. 9, Вижниця, 20658",741-35-46,zorian49@example.org
Перебийніс,Демид Олександрович,Чоловіча,1942-02-24,Клоун,місто Перемишляни,"шосе Довженка, буд. 306, Жовті Води, 35481",+380 59 616 29 52,marusiaokhrimenko@example.com
Вернигора,Аніта Дмитрівна,Жіноча,1981-06-21,Адвокат,селище Лиман,"вулиця Басейний 1-й, буд. 8 кв. 8, Кролевець, 59970",038 452-29-39,shamraifeofan@example.org
Верховинець,Йосип Володимирович,Чоловіча,2002-03-12,Менеджер,хутір Перещепине,"проспект Квантовий, буд. 9 кв. 7, Дергачі, 02421",349 79 97,lvasylashko@example.org
Дрозденко,Аарон Дмитрович,Чоловіча,1979-11-24,Перекладач,село Турка,"узвіз Бучми, буд. 852, Щастя, 22849",+380 05 302-40-64,les96@example.org
Ґерус,Олег Васильович,Чоловіча,1954-07-30,Археолог,хутір Буринь,"парк Восьмого березня 2-й, буд. 204 кв. 8, Полонне, 24902",502 87 48,marusiataran@example.net
Гоголь,Оксенія Юріївна,Жіноча,1967-06-12,Гірник,селище Охтирка,"провулок Полуничний, буд. 24, Тернівка, 27195",084 298 43 22,leopold47@example.net
Яценко,Борис Тарасович,Чоловіча,1982-06-24,Детектив,хутір Отаманівка,"сквер Венгера, буд. 8, Торецьк, 08283",022-40-13,averchenkoazar@example.com
Венгринович,Віталій Миколайович,Чоловіча,2002-08-12,Підприємець,селище Шумськ,"сквер Республіканська, буд. 3 кв. 4, Нова Одеса, 12382",+380 51 336-53-38,arsenychklyment@example.com
Височан,Азар Миколайович,Чоловіча,1948-06-18,Стоматолог,хутір Гнівань,"площа Архітекторська, буд. 0, Попасна, 11202",+380 21 463 86 70,efastenko@example.net
